"date","home_team","away_team","home_prob","draw_prob","away_prob","mode_home","mode_away","mode_prob","over_prob","under_prob","home_CS","away_CS"
"Sat. 29 Apr.","Crystal Palace","Burnley",0.44690557007721,0.264409344449361,0.28868472350084,1,1,0.125556622852504,0.460558929556859,0.539441070443141,0.33579380693811,0.240312351100352
"Sun. 30 Apr.","Manchester Utd","Swansea City",0.7727217210098,0.148014265120671,0.0792022342874904,2,0,0.130959596547987,0.614404463031395,0.385595536968605,0.510573243810265,0.0820270529571965
"Sun. 30 Apr.","Everton","Chelsea",0.290723106116655,0.272400723810563,0.436875950325041,1,1,0.128477583499059,0.431319105148374,0.568680894851626,0.258378143867318,0.349726270509585
"Sun. 30 Apr.","Middlesbrough","Manchester City",0.17494957181311,0.286750710112399,0.538299551797839,0,1,0.188959311192102,0.309314586749494,0.690685413250506,0.265593206818445,0.53663217378406
"Sun. 30 Apr.","Tottenham","Arsenal",0.629206542784239,0.206835349027703,0.163948680327868,2,0,0.107189253194177,0.56636621952346,0.43363378047654,0.396084827845751,0.131648161071383
"Mon. 1 May.","Watford","Liverpool",0.192040844216881,0.195508637571598,0.612425869700818,1,2,0.0964706829900848,0.669520154060285,0.330479845939715,0.105001942426436,0.302783489267559
"Sat. 6 May.","Liverpool","Southampton",0.684282790599018,0.181561305693537,0.134127486977002,2,0,0.106997567565943,0.619952120460138,0.380047879539862,0.40297713900809,0.101219645039943
"Sat. 6 May.","Swansea City","Everton",0.182579570864452,0.198144201624894,0.619257161381189,1,2,0.0981800912778931,0.640521895278561,0.35947810472144,0.111852106921291,0.329827925385345
"Sat. 6 May.","Bournemouth","Stoke City",0.448770733680147,0.240588166510145,0.310639564093155,1,1,0.111442499829893,0.572737497324038,0.427262502675962,0.263493070111346,0.192405358632515
"Sat. 6 May.","Arsenal","Manchester Utd",0.445200244874544,0.260976623929262,0.293822695371091,1,1,0.12411587698022,0.476520516776996,0.523479483223004,0.323596873450256,0.234177886272849
"Sat. 6 May.","Leicester City","Watford",0.484540453052036,0.239300734268572,0.27615695396904,1,1,0.111968370648805,0.558579221859919,0.441420778140081,0.294130756366732,0.183422353997886
"Sat. 6 May.","Hull City","Sunderland",0.428431342387256,0.278746668038705,0.292821841456822,1,1,0.130348300919335,0.409422650138251,0.590577349861749,0.359853834708632,0.272922867661471
"Sat. 6 May.","Chelsea","Middlesbrough",0.765694124600711,0.181246351493726,0.0530534797079691,1,0,0.202580351974205,0.392067112884185,0.607932887115815,0.723909750483573,0.144830599181523
"Sat. 6 May.","West Ham Utd","Tottenham",0.137112100595945,0.191707572007121,0.671163939691039,0,2,0.114251938482581,0.579346662037884,0.420653337962116,0.115958077218026,0.424503962278321
"Sat. 6 May.","Burnley","West Bromwich",0.360481360272945,0.287779178597589,0.351739396799539,1,1,0.133457404989525,0.389396658238425,0.610603341761575,0.328284831056192,0.322584685426838
"Sat. 6 May.","Manchester City","Crystal Palace",0.759181361818182,0.147626162763209,0.0930983348110615,2,0,0.110031052059724,0.668644010624717,0.331355989375283,0.44080717765882,0.0724538530665288
"Sat. 13 May.","Tottenham","Manchester Utd",0.549352613423459,0.273205675512119,0.177441397063649,1,0,0.175378802610886,0.3471191216296,0.6528808783704,0.510214756992402,0.242914553768953
"Sat. 13 May.","Middlesbrough","Southampton",0.30020060689729,0.350543844048853,0.349255546431776,0,0,0.198485203294335,0.221054530333259,0.778945469666741,0.426745619962049,0.465113626219627
"Sat. 13 May.","Manchester City","Leicester City",0.763792328214404,0.147069163586684,0.0890515336460768,2,0,0.114943258671944,0.656752263712828,0.343247736287172,0.457914789465032,0.0742069583274365
"Sat. 13 May.","West Ham Utd","Liverpool",0.224533935983583,0.195151028941293,0.580282506843569,1,2,0.0911421730148409,0.71925113119506,0.28074886880494,0.0979691817821649,0.245419182249792
"Sat. 13 May.","Everton","Watford",0.739873173634788,0.160246358501442,0.0998289777982525,2,0,0.118256673670547,0.627015473826182,0.372984526173818,0.456528103582777,0.0863532375637649
"Sat. 13 May.","Crystal Palace","Hull City",0.601193751977872,0.216955378117095,0.181844788219093,1,0,0.107174887581386,0.55229915939195,0.44770084060805,0.383180408292892,0.144676466103101
"Sat. 13 May.","Bournemouth","Burnley",0.475094041853514,0.245758792661675,0.279145949897816,1,1,0.116107977577977,0.532012702734374,0.467987297265626,0.305692673246748,0.197704220158248
"Sat. 13 May.","Sunderland","Swansea City",0.41806690534226,0.250112984720781,0.331819367975525,1,1,0.117715944128916,0.536982742371165,0.463017257628835,0.267690603892492,0.221090300709858
"Sat. 13 May.","Stoke City","Arsenal",0.265761397295037,0.235401297467151,0.498834865669463,1,1,0.109735943313691,0.568402501573261,0.431597498426739,0.17415866623493,0.296734154009532
"Sat. 13 May.","West Bromwich","Chelsea",0.179780444983724,0.243785098503997,0.576433083188753,0,1,0.14262208322726,0.442831275380643,0.557168724619357,0.192092989444658,0.450038595556016
"Sun. 21 May.","Arsenal","Everton",0.483942194183816,0.231311121422498,0.284743583306899,1,1,0.105364747762419,0.601467137640417,0.398532862359583,0.266073553308382,0.167261264442997
"Sun. 21 May.","Southampton","Stoke City",0.473915043516132,0.271006971278822,0.255077693494953,1,0,0.133442360061065,0.417595359572257,0.582404640427743,0.386685990821511,0.246238756543872
"Sun. 21 May.","Burnley","West Ham Utd",0.453661710422997,0.252353623705133,0.29398391344569,1,1,0.119710424524664,0.512218801383645,0.487781198616355,0.305081278634149,0.215078530338623
"Sun. 21 May.","Swansea City","West Bromwich",0.31215178487871,0.239056178063064,0.448790340225409,1,1,0.110192535124732,0.580581986883292,0.419418013116708,0.18923634443867,0.258689391350942
"Sun. 21 May.","Chelsea","Sunderland",0.874053548374913,0.0950775628376182,0.0306576387511934,2,0,0.155260312665759,0.638369196555512,0.361630803444488,0.667946010313098,0.0558151040149039
"Sun. 21 May.","Watford","Manchester City",0.191460299236073,0.212890658787464,0.595640783335715,1,1,0.0995778027235488,0.585520869802253,0.414479130197747,0.13556524981995,0.353156726831782
"Sun. 21 May.","Hull City","Tottenham",0.0764113966412928,0.161785372826461,0.7617768075291,0,2,0.151098249144985,0.539543007100534,0.460456992899466,0.103111601772677,0.567773889560325
"Sun. 21 May.","Leicester City","Bournemouth",0.457491774408074,0.227971427959969,0.314533129993134,1,1,0.100403576968936,0.635048978205107,0.364951021794893,0.230710478448814,0.164301757714525
"Sun. 21 May.","Liverpool","Middlesbrough",0.722879484352992,0.189155325453374,0.0879567629946977,2,0,0.15878663096412,0.465498259731517,0.534501740268483,0.586638122290998,0.134916972056977
"Sun. 21 May.","Manchester Utd","Crystal Palace",0.69599284618751,0.19302877573725,0.110968116154986,2,0,0.138295416196603,0.510666116760891,0.489333883239109,0.511204026182431,0.129176040492872
